unix,price,signal,pnl
2016-07-30 01:52:00,657.92,0,
2016-07-30 01:53:00,657.91,0,
2016-07-30 01:54:00,657.91,0,
2016-07-30 01:55:00,657.93,0,
2016-07-30 01:56:00,657.93,0,
2016-07-30 01:57:00,657.91,0,
2016-07-30 01:58:00,657.92,0,
2016-07-30 01:59:00,657.91,0,
2016-07-30 02:00:00,657.95,0,
2016-07-30 02:01:00,657.96,0,
2016-07-30 02:02:00,657.96,0,
2016-07-30 02:03:00,657.96,0,
2016-07-30 02:04:00,657.95,0,
2016-07-30 02:05:00,657.96,0,
2016-07-30 02:06:00,657.95,0,
2016-07-30 02:07:00,657.95,0,
2016-07-30 02:08:00,657.95,0,
2016-07-30 02:09:00,657.95,0,
2016-07-30 02:10:00,657.87,0,
2016-07-30 02:11:00,657.61,0,
2016-07-30 02:12:00,657.75,0,
2016-07-30 02:13:00,657.76,0,
2016-07-30 02:14:00,657.76,0,
2016-07-30 02:15:00,657.76,0,
2016-07-30 02:16:00,657.98,0,
2016-07-30 02:17:00,657.98,0,
2016-07-30 02:18:00,657.93,0,
2016-07-30 02:19:00,657.57,0,
2016-07-30 02:20:00,657.53,0,
2016-07-30 02:21:00,657.92,0,
2016-07-30 02:22:00,657.92,0,
2016-07-30 02:23:00,657.92,0,
2016-07-30 02:24:00,657.92,0,
2016-07-30 02:25:00,657.92,0,
2016-07-30 02:26:00,657.9,0,
2016-07-30 02:27:00,657.9,0,
2016-07-30 02:28:00,657.5,0,
2016-07-30 02:29:00,657.5,0,
2016-07-30 02:30:00,657.5,0,
2016-07-30 02:31:00,657.5,0,
2016-07-30 02:32:00,657.51,0,
2016-07-30 02:33:00,657.51,0,
2016-07-30 02:34:00,657.51,0,
2016-07-30 02:35:00,657.51,0,
2016-07-30 02:36:00,657.51,0,
2016-07-30 02:37:00,657.52,0,
2016-07-30 02:38:00,657.52,0,
2016-07-30 02:39:00,657.62,0,
2016-07-30 02:40:00,657.5,0,
2016-07-30 02:41:00,657.5,0,
2016-07-30 02:42:00,657.51,0,
2016-07-30 02:43:00,657.52,0,
2016-07-30 02:44:00,657.51,0,
2016-07-30 02:45:00,657.51,0,
2016-07-30 02:46:00,657.53,0,
2016-07-30 02:47:00,657.53,0,
2016-07-30 02:48:00,657.5,0,
2016-07-30 02:49:00,657.5,0,
2016-07-30 02:50:00,657.42,0,
2016-07-30 02:51:00,657.13,0,
2016-07-30 02:52:00,657.17,0,
2016-07-30 02:53:00,657.17,0,
2016-07-30 02:54:00,657.02,0,
2016-07-30 02:55:00,657.82,0,
2016-07-30 02:56:00,657.1,0,
2016-07-30 02:57:00,657.1,0,
2016-07-30 02:58:00,657.1,0,
2016-07-30 02:59:00,657.97,0,
2016-07-30 03:00:00,657.97,0,
2016-07-30 03:01:00,657.02,0,
2016-07-30 03:02:00,657.49,0,
2016-07-30 03:03:00,657.49,0,
2016-07-30 03:04:00,657.49,0,
2016-07-30 03:05:00,657.21,0,
2016-07-30 03:06:00,657.21,0,
2016-07-30 03:07:00,657.21,0,
2016-07-30 03:08:00,657.22,0,
2016-07-30 03:09:00,657.22,0,
2016-07-30 03:10:00,657.05,0,
2016-07-30 03:11:00,657.05,0,
2016-07-30 03:12:00,657.05,0,
2016-07-30 03:13:00,657.05,0,
2016-07-30 03:14:00,657.05,0,
2016-07-30 03:15:00,657.99,0,
2016-07-30 03:16:00,657.99,0,
2016-07-30 03:17:00,657.99,0,
2016-07-30 03:18:00,657.99,0,
2016-07-30 03:19:00,657.99,0,
2016-07-30 03:20:00,658.0,0,
2016-07-30 03:21:00,658.0,0,
2016-07-30 03:22:00,658.0,0,
2016-07-30 03:23:00,658.0,0,
2016-07-30 03:24:00,658.0,0,
2016-07-30 03:25:00,658.0,0,
2016-07-30 03:26:00,657.99,0,
2016-07-30 03:27:00,657.1,0,
2016-07-30 03:28:00,657.1,0,
2016-07-30 03:29:00,657.1,0,
2016-07-30 03:30:00,657.97,0,
2016-07-30 03:31:00,657.97,0,
2016-07-30 03:32:00,658.0,0,
2016-07-30 03:33:00,658.0,0,
2016-07-30 03:34:00,658.0,0,
2016-07-30 03:35:00,657.8,0,
2016-07-30 03:36:00,657.8,0,
2016-07-30 03:37:00,657.98,0,
2016-07-30 03:38:00,657.98,0,
2016-07-30 03:39:00,657.98,0,
2016-07-30 03:40:00,657.98,0,
2016-07-30 03:41:00,657.98,0,
2016-07-30 03:42:00,657.97,0,
2016-07-30 03:43:00,657.97,0,
2016-07-30 03:44:00,657.97,0,
2016-07-30 03:45:00,657.97,0,
2016-07-30 03:46:00,657.97,0,
2016-07-30 03:47:00,657.97,0,
2016-07-30 03:48:00,658.0,0,
2016-07-30 03:49:00,657.64,0,
2016-07-30 03:50:00,657.69,0,
2016-07-30 03:51:00,657.69,0,
2016-07-30 03:52:00,657.98,0,
2016-07-30 03:53:00,657.98,0,
2016-07-30 03:54:00,657.98,0,
2016-07-30 03:55:00,657.97,0,
2016-07-30 03:56:00,657.51,0,
2016-07-30 03:57:00,657.51,0,
2016-07-30 03:58:00,657.51,0,
2016-07-30 03:59:00,657.51,0,
2016-07-30 04:00:00,657.51,0,
2016-07-30 04:01:00,657.51,0,
2016-07-30 04:02:00,657.98,0,
2016-07-30 04:03:00,657.98,0,
2016-07-30 04:04:00,657.98,0,
2016-07-30 04:05:00,657.49,0,
2016-07-30 04:06:00,657.47,0,
2016-07-30 04:07:00,657.47,0,
2016-07-30 04:08:00,657.83,0,
